trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,shape_dist_traveled
A20131215WKD_098250_1..S07R,17:04:00,17:04:00,131S,28,,0,0,
A20131215WKD_098250_1..S07R,17:05:00,17:05:00,132S,29,,0,0,
A20131215WKD_098250_1..S07R,17:06:30,17:06:30,133S,30,,0,0,
A20131215WKD_098250_1..S07R,17:08:00,17:08:00,134S,31,,0,0,
A20131215WKD_098250_1..S07R,17:09:30,17:09:30,135S,32,,0,0,
A20131215WKD_098250_1..S07R,17:10:30,17:10:30,136S,33,,0,0,
A20131215WKD_098250_1..S07R,17:12:00,17:14:00,137S,34,,0,0,
A20131215WKD_098250_1..S07R,17:15:30,17:15:30,138S,35,,1,1,
A20131215WKD_098250_1..S07R,17:17:00,17:18:00,139S,36,,0,0,
A20131215WKD_098250_1..S07R,17:20:30,17:20:30,140S,37,,0,0,
A20131215WKD_104300_1..N02R,17:23:00,17:23:00,140N,1,,0,0,
A20131215WKD_104300_1..N02R,17:25:30,17:25:30,139N,2,,0,0,
A20131215WKD_104300_1..N02R,17:26:30,17:26:30,138N,3,,1,1,
A20131215WKD_104300_1..N02R,17:27:30,17:29:30,137N,4,,0,0,
A20131215WKD_104300_1..N02R,17:31:00,17:31:00,136N,5,,0,0,
A20131215WKD_104300_1..N02R,17:32:00,17:32:00,135N,6,,0,0,
A20131215WKD_104300_1..N02R,17:33:30,17:33:30,134N,7,,0,0,
A20131215WKD_104300_1..N02R,17:35:30,17:35:30,133N,8,,0,0,
A20131215WKD_104300_1..N02R,17:37:00,17:37:00,132N,9,,0,0,
A20131215WKD_104300_1..N02R,17:38:00,17:38:00,131N,10,,0,0,
A20131215WKD_104300_1..N02R,17:39:00,17:39:00,130N,11,,0,0,
A20131215WKD_104300_1..N02R,17:40:00,17:40:00,129N,12,,0,0,
A20131215WKD_104300_1..N02R,17:41:30,17:41:30,128N,13,,0,0,
A20131215WKD_104300_1..N02R,17:43:00,17:43:00,127N,14,,0,0,
A20131215WKD_104300_1..N02R,17:45:00,17:45:00,126N,15,,0,0,
A20131215WKD_104300_1..N02R,17:47:30,17:47:30,125N,16,,0,0,
A20131215WKD_104300_1..N02R,17:49:00,17:49:00,124N,17,,0,0,
A20131215WKD_104300_1..N02R,17:50:30,17:50:30,123N,18,,0,0,
A20131215WKD_104300_1..N02R,17:52:30,17:52:30,122N,19,,0,0,
A20131215WKD_104300_1..N02R,17:54:00,17:54:00,121N,20,,0,0,
A20131215WKD_104300_1..N02R,17:56:00,17:56:00,120N,21,,0,0,
A20131215WKD_104300_1..N02R,17:57:30,17:57:30,119N,22,,0,0,
A20131215WKD_104300_1..N02R,17:59:00,17:59:00,118N,23,,0,0,
A20131215WKD_104300_1..N02R,18:00:00,18:00:00,117N,24,,0,0,
A20131215WKD_104300_1..N02R,18:02:00,18:02:00,116N,25,,0,0,
A20131215WKD_104300_1..N02R,18:04:00,18:04:00,115N,26,,0,0,
A20131215WKD_104300_1..N02R,18:05:30,18:05:30,114N,27,,0,0,
A20131215WKD_104300_1..N02R,18:07:30,18:07:30,113N,28,,0,0,
A20131215WKD_104300_1..N02R,18:09:00,18:09:00,112N,29,,0,0,
A20131215WKD_104300_1..N02R,18:11:00,18:11:00,111N,30,,0,0,
A20131215WKD_104300_1..N02R,18:12:30,18:12:30,110N,31,,0,0,
A20131215WKD_104300_1..N02R,18:14:00,18:14:00,109N,32,,0,0,
A20131215WKD_104300_1..N02R,18:15:30,18:15:30,108N,33,,0,0,
A20131215WKD_104300_1..N02R,18:17:00,18:17:00,107N,34,,0,0,
A20131215WKD_104300_1..N02R,18:19:00,18:19:00,106N,35,,0,0,
A20131215WKD_104300_1..N02R,18:20:30,18:20:30,104N,36,,0,0,
A20131215WKD_104300_1..N02R,18:22:00,18:22:00,103N,37,,0,0,
A20131215WKD_104300_1..N02R,18:23:30,18:23:30,101N,38,,0,0,
A20131215WKD_111050_1..S02R,18:30:30,18:30:30,101S,1,,0,0,
A20131215WKD_111050_1..S02R,18:32:00,18:32:00,103S,2,,0,0,
A20131215WKD_111050_1..S02R,18:33:30,18:33:30,104S,3,,0,0,
A20131215WKD_111050_1..S02R,18:35:00,18:35:00,106S,4,,0,0,
A20131215WKD_111050_1..S02R,18:36:30,18:36:30,107S,5,,0,0,
A20131215WKD_111050_1..S02R,18:37:30,18:37:30,108S,6,,0,0,
A20131215WKD_111050_1..S02R,18:39:00,18:39:00,109S,7,,0,0,
A20131215WKD_111050_1..S02R,18:40:30,18:40:30,110S,8,,0,0,
A20131215WKD_111050_1..S02R,18:42:00,18:42:00,111S,9,,0,0,
A20131215WKD_111050_1..S02R,18:44:00,18:44:00,112S,10,,0,0,
A20131215WKD_111050_1..S02R,18:45:30,18:45:30,113S,11,,0,0,
A20131215WKD_111050_1..S02R,18:47:30,18:47:30,114S,12,,0,0,
A20131215WKD_111050_1..S02R,18:49:00,18:49:00,115S,13,,0,0,
A20131215WKD_111050_1..S02R,18:50:30,18:50:30,116S,14,,0,0,
A20131215WKD_111050_1..S02R,18:53:00,18:53:00,117S,15,,0,0,
A20131215WKD_111050_1..S02R,18:54:00,18:54:00,118S,16,,0,0,
A20131215WKD_111050_1..S02R,18:55:00,18:55:00,119S,17,,0,0,
A20131215WKD_111050_1..S02R,18:57:00,18:57:00,120S,18,,0,0,
A20131215WKD_111050_1..S02R,18:59:00,18:59:00,121S,19,,0,0,
A20131215WKD_111050_1..S02R,19:00:00,19:00:00,122S,20,,0,0,
A20131215WKD_111050_1..S02R,19:01:30,19:01:30,123S,21,,0,0,
A20131215WKD_111050_1..S02R,19:03:00,19:03:00,124S,22,,0,0,
A20131215WKD_111050_1..S02R,19:04:30,19:04:30,125S,23,,0,0,
A20131215WKD_111050_1..S02R,19:06:30,19:06:30,126S,24,,0,0,
A20131215WKD_111050_1..S02R,19:08:30,19:08:30,127S,25,,0,0,
A20131215WKD_111050_1..S02R,19:10:00,19:10:00,128S,26,,0,0,
A20131215WKD_111050_1..S02R,19:11:30,19:11:30,129S,27,,0,0,
A20131215WKD_111050_1..S02R,19:12:30,19:12:30,130S,28,,0,0,
A20131215WKD_111050_1..S02R,19:13:30,19:13:30,131S,29,,0,0,
A20131215WKD_111050_1..S02R,19:14:30,19:14:30,132S,30,,0,0,
A20131215WKD_111050_1..S02R,19:16:00,19:16:00,133S,31,,0,0,
A20131215WKD_111050_1..S02R,19:17:30,19:17:30,134S,32,,0,0,
A20131215WKD_111050_1..S02R,19:19:00,19:19:00,135S,33,,0,0,
A20131215WKD_111050_1..S02R,19:20:00,19:20:00,136S,34,,0,0,
A20131215WKD_111050_1..S02R,19:21:30,19:23:30,137S,35,,0,0,
A20131215WKD_111050_1..S02R,19:25:00,19:25:00,138S,36,,1,1,
A20131215WKD_111050_1..S02R,19:26:30,19:27:30,139S,37,,0,0,
A20131215WKD_111050_1..S02R,19:30:00,19:30:00,140S,38,,0,0,
A20131215WKD_117400_1..N02R,19:34:00,19:34:00,140N,1,,0,0,
A20131215WKD_117400_1..N02R,19:36:30,19:36:30,139N,2,,0,0,
A20131215WKD_117400_1..N02R,19:37:30,19:37:30,138N,3,,1,1,
A20131215WKD_117400_1..N02R,19:38:30,19:38:30,137N,4,,0,0,
A20131215WKD_117400_1..N02R,19:40:00,19:40:00,136N,5,,0,0,
A20131215WKD_117400_1..N02R,19:41:00,19:41:00,135N,6,,0,0,
A20131215WKD_117400_1..N02R,19:42:30,19:42:30,134N,7,,0,0,
A20131215WKD_117400_1..N02R,19:44:30,19:44:30,133N,8,,0,0,
A20131215WKD_117400_1..N02R,19:46:00,19:46:00,132N,9,,0,0,
A20131215WKD_117400_1..N02R,19:47:00,19:47:00,131N,10,,0,0,
A20131215WKD_117400_1..N02R,19:48:00,19:48:00,130N,11,,0,0,
A20131215WKD_117400_1..N02R,19:49:00,19:49:00,129N,12,,0,0,
A20131215WKD_117400_1..N02R,19:50:30,19:50:30,128N,13,,0,0,
A20131215WKD_117400_1..N02R,19:52:00,19:52:00,127N,14,,0,0,
A20131215WKD_117400_1..N02R,19:54:00,19:54:00,126N,15,,0,0,
A20131215WKD_117400_1..N02R,19:56:00,19:56:00,125N,16,,0,0,
A20131215WKD_117400_1..N02R,19:57:30,19:57:30,124N,17,,0,0,
A20131215WKD_117400_1..N02R,19:59:00,19:59:00,123N,18,,0,0,
A20131215WKD_117400_1..N02R,20:00:30,20:00:30,122N,19,,0,0,
A20131215WKD_117400_1..N02R,20:02:00,20:02:00,121N,20,,0,0,
A20131215WKD_117400_1..N02R,20:04:00,20:04:00,120N,21,,0,0,
A20131215WKD_117400_1..N02R,20:05:30,20:05:30,119N,22,,0,0,
A20131215WKD_117400_1..N02R,20:07:00,20:07:00,118N,23,,0,0,
A20131215WKD_117400_1..N02R,20:08:00,20:08:00,117N,24,,0,0,
A20131215WKD_117400_1..N02R,20:10:00,20:10:00,116N,25,,0,0,
A20131215WKD_117400_1..N02R,20:12:00,20:12:00,115N,26,,0,0,
A20131215WKD_117400_1..N02R,20:13:30,20:13:30,114N,27,,0,0,
A20131215WKD_117400_1..N02R,20:15:30,20:15:30,113N,28,,0,0,
A20131215WKD_117400_1..N02R,20:17:00,20:17:00,112N,29,,0,0,
A20131215WKD_117400_1..N02R,20:19:00,20:19:00,111N,30,,0,0,
A20131215WKD_117400_1..N02R,20:20:30,20:20:30,110N,31,,0,0,
A20131215WKD_117400_1..N02R,20:22:00,20:22:00,109N,32,,0,0,
A20131215WKD_117400_1..N02R,20:23:30,20:23:30,108N,33,,0,0,
A20131215WKD_117400_1..N02R,20:25:00,20:25:00,107N,34,,0,0,
A20131215WKD_117400_1..N02R,20:26:30,20:26:30,106N,35,,0,0,
A20131215WKD_117400_1..N02R,20:28:00,20:28:00,104N,36,,0,0,
A20131215WKD_117400_1..N02R,20:29:30,20:31:00,103N,37,,0,0,
A20131215WKD_117400_1..N02R,20:32:30,20:32:30,101N,38,,0,0,
A20131215WKD_124050_1..S02R,20:40:30,20:40:30,101S,1,,0,0,
A20131215WKD_124050_1..S02R,20:42:00,20:42:00,103S,2,,0,0,
A20131215WKD_124050_1..S02R,20:43:30,20:43:30,104S,3,,0,0,
A20131215WKD_124050_1..S02R,20:45:00,20:45:00,106S,4,,0,0,
A20131215WKD_124050_1..S02R,20:46:30,20:46:30,107S,5,,0,0,
A20131215WKD_124050_1..S02R,20:47:30,20:47:30,108S,6,,0,0,
A20131215WKD_124050_1..S02R,20:49:00,20:49:00,109S,7,,0,0,
A20131215WKD_124050_1..S02R,20:50:30,20:50:30,110S,8,,0,0,
A20131215WKD_124050_1..S02R,20:52:00,20:52:00,111S,9,,0,0,
A20131215WKD_124050_1..S02R,20:54:00,20:54:00,112S,10,,0,0,
A20131215WKD_124050_1..S02R,20:55:30,20:55:30,113S,11,,0,0,
A20131215WKD_124050_1..S02R,20:57:30,20:57:30,114S,12,,0,0,
A20131215WKD_124050_1..S02R,20:59:00,20:59:00,115S,13,,0,0,
A20131215WKD_124050_1..S02R,21:00:30,21:00:30,116S,14,,0,0,
A20131215WKD_124050_1..S02R,21:03:00,21:03:00,117S,15,,0,0,
A20131215WKD_124050_1..S02R,21:04:00,21:04:00,118S,16,,0,0,
A20131215WKD_124050_1..S02R,21:05:00,21:05:00,119S,17,,0,0,
A20131215WKD_124050_1..S02R,21:07:00,21:07:00,120S,18,,0,0,
A20131215WKD_124050_1..S02R,21:09:00,21:09:00,121S,19,,0,0,
A20131215WKD_124050_1..S02R,21:10:00,21:10:00,122S,20,,0,0,
A20131215WKD_124050_1..S02R,21:11:30,21:11:30,123S,21,,0,0,
A20131215WKD_124050_1..S02R,21:13:00,21:13:00,124S,22,,0,0,
A20131215WKD_124050_1..S02R,21:14:30,21:14:30,125S,23,,0,0,
A20131215WKD_124050_1..S02R,21:16:30,21:16:30,126S,24,,0,0,
A20131215WKD_124050_1..S02R,21:18:00,21:18:00,127S,25,,0,0,
A20131215WKD_124050_1..S02R,21:19:30,21:19:30,128S,26,,0,0,
A20131215WKD_124050_1..S02R,21:20:30,21:20:30,129S,27,,0,0,
A20131215WKD_124050_1..S02R,21:21:30,21:21:30,130S,28,,0,0,
A20131215WKD_124050_1..S02R,21:22:30,21:22:30,131S,29,,0,0,
A20131215WKD_124050_1..S02R,21:23:30,21:23:30,132S,30,,0,0,
A20131215WKD_124050_1..S02R,21:25:00,21:25:00,133S,31,,0,0,
A20131215WKD_124050_1..S02R,21:26:30,21:26:30,134S,32,,0,0,
A20131215WKD_124050_1..S02R,21:28:30,21:28:30,135S,33,,0,0,
A20131215WKD_124050_1..S02R,21:29:30,21:29:30,136S,34,,0,0,
A20131215WKD_124050_1..S02R,21:30:30,21:32:30,137S,35,,0,0,
A20131215WKD_124050_1..S02R,21:34:00,21:34:00,138S,36,,1,1,
A20131215WKD_124050_1..S02R,21:35:30,21:36:30,139S,37,,0,0,
A20131215WKD_124050_1..S02R,21:39:00,21:39:00,140S,38,,0,0,
A20131215WKD_130300_1..N02R,21:43:00,21:43:00,140N,1,,0,0,
A20131215WKD_130300_1..N02R,21:45:30,21:45:30,139N,2,,0,0,
A20131215WKD_130300_1..N02R,21:46:30,21:46:30,138N,3,,1,1,
A20131215WKD_130300_1..N02R,21:47:30,21:48:30,137N,4,,0,0,
A20131215WKD_130300_1..N02R,21:50:00,21:50:00,136N,5,,0,0,
A20131215WKD_130300_1..N02R,21:51:00,21:51:00,135N,6,,0,0,
A20131215WKD_130300_1..N02R,21:52:30,21:52:30,134N,7,,0,0,
A20131215WKD_130300_1..N02R,21:54:00,21:54:00,133N,8,,0,0,
A20131215WKD_130300_1..N02R,21:55:30,21:55:30,132N,9,,0,0,
A20131215WKD_130300_1..N02R,21:56:30,21:56:30,131N,10,,0,0,
A20131215WKD_130300_1..N02R,21:57:30,21:57:30,130N,11,,0,0,
A20131215WKD_130300_1..N02R,21:58:30,21:58:30,129N,12,,0,0,
A20131215WKD_130300_1..N02R,22:00:00,22:00:00,128N,13,,0,0,
A20131215WKD_130300_1..N02R,22:01:30,22:01:30,127N,14,,0,0,
A20131215WKD_130300_1..N02R,22:03:30,22:03:30,126N,15,,0,0,
A20131215WKD_130300_1..N02R,22:05:30,22:05:30,125N,16,,0,0,
A20131215WKD_130300_1..N02R,22:07:00,22:07:00,124N,17,,0,0,
A20131215WKD_130300_1..N02R,22:08:00,22:08:00,123N,18,,0,0,
A20131215WKD_130300_1..N02R,22:09:30,22:09:30,122N,19,,0,0,
A20131215WKD_130300_1..N02R,22:11:00,22:11:00,121N,20,,0,0,
A20131215WKD_130300_1..N02R,22:12:30,22:12:30,120N,21,,0,0,
A20131215WKD_130300_1..N02R,22:14:00,22:14:00,119N,22,,0,0,
A20131215WKD_130300_1..N02R,22:15:30,22:15:30,118N,23,,0,0,
A20131215WKD_130300_1..N02R,22:16:30,22:16:30,117N,24,,0,0,
A20131215WKD_130300_1..N02R,22:18:30,22:18:30,116N,25,,0,0,
A20131215WKD_130300_1..N02R,22:20:30,22:20:30,115N,26,,0,0,
A20131215WKD_130300_1..N02R,22:22:00,22:22:00,114N,27,,0,0,
A20131215WKD_130300_1..N02R,22:24:00,22:24:00,113N,28,,0,0,
A20131215WKD_130300_1..N02R,22:25:30,22:25:30,112N,29,,0,0,
A20131215WKD_130300_1..N02R,22:27:30,22:27:30,111N,30,,0,0,
A20131215WKD_130300_1..N02R,22:29:00,22:29:00,110N,31,,0,0,
A20131215WKD_130300_1..N02R,22:30:30,22:30:30,109N,32,,0,0,
A20131215WKD_130300_1..N02R,22:32:00,22:32:00,108N,33,,0,0,
A20131215WKD_130300_1..N02R,22:33:30,22:33:30,107N,34,,0,0,
A20131215WKD_130300_1..N02R,22:35:00,22:35:00,106N,35,,0,0,
A20131215WKD_130300_1..N02R,22:36:30,22:36:30,104N,36,,0,0,
A20131215WKD_130300_1..N02R,22:38:00,22:38:00,103N,37,,0,0,
A20131215WKD_130300_1..N02R,22:39:30,22:39:30,101N,38,,0,0,
A20131215WKD_004550_1..S02R,00:45:30,00:45:30,101S,1,,0,0,
A20131215WKD_004550_1..S02R,00:47:00,00:47:00,103S,2,,0,0,
A20131215WKD_004550_1..S02R,00:48:30,00:48:30,104S,3,,0,0,
A20131215WKD_004550_1..S02R,00:50:00,00:50:00,106S,4,,0,0,
A20131215WKD_004550_1..S02R,00:51:30,00:51:30,107S,5,,0,0,
A20131215WKD_004550_1..S02R,00:52:30,00:52:30,108S,6,,0,0,
A20131215WKD_004550_1..S02R,00:54:00,00:54:00,109S,7,,0,0,
A20131215WKD_004550_1..S02R,00:55:30,00:55:30,110S,8,,0,0,
A20131215WKD_004550_1..S02R,00:57:00,00:57:00,111S,9,,0,0,
A20131215WKD_004550_1..S02R,00:59:00,00:59:00,112S,10,,0,0,
A20131215WKD_004550_1..S02R,01:00:30,01:00:30,113S,11,,0,0,
A20131215WKD_004550_1..S02R,01:02:30,01:02:30,114S,12,,0,0,
A20131215WKD_004550_1..S02R,01:04:00,01:04:00,115S,13,,0,0,
A20131215WKD_004550_1..S02R,01:05:30,01:05:30,116S,14,,0,0,
A20131215WKD_004550_1..S02R,01:08:00,01:08:00,117S,15,,0,0,
A20131215WKD_004550_1..S02R,01:09:00,01:09:00,118S,16,,0,0,
A20131215WKD_004550_1..S02R,01:10:00,01:10:00,119S,17,,0,0,
A20131215WKD_004550_1..S02R,01:12:00,01:12:00,120S,18,,0,0,
A20131215WKD_004550_1..S02R,01:14:00,01:14:00,121S,19,,0,0,
A20131215WKD_004550_1..S02R,01:15:00,01:15:00,122S,20,,0,0,
A20131215WKD_004550_1..S02R,01:16:30,01:16:30,123S,21,,0,0,
A20131215WKD_004550_1..S02R,01:18:00,01:18:00,124S,22,,0,0,
A20131215WKD_004550_1..S02R,01:19:30,01:19:30,125S,23,,0,0,
A20131215WKD_004550_1..S02R,01:21:30,01:21:30,126S,24,,0,0,
A20131215WKD_004550_1..S02R,01:23:00,01:23:00,127S,25,,0,0,
A20131215WKD_004550_1..S02R,01:24:30,01:24:30,128S,26,,0,0,
A20131215WKD_004550_1..S02R,01:25:30,01:25:30,129S,27,,0,0,
A20131215WKD_004550_1..S02R,01:26:30,01:26:30,130S,28,,0,0,
A20131215WKD_004550_1..S02R,01:27:30,01:27:30,131S,29,,0,0,
A20131215WKD_004550_1..S02R,01:28:30,01:28:30,132S,30,,0,0,
A20131215WKD_004550_1..S02R,01:30:00,01:30:00,133S,31,,0,0,
A20131215WKD_004550_1..S02R,01:31:30,01:31:30,134S,32,,0,0,
A20131215WKD_004550_1..S02R,01:33:30,01:33:30,135S,33,,0,0,
A20131215WKD_004550_1..S02R,01:34:30,01:34:30,136S,34,,0,0,
A20131215WKD_004550_1..S02R,01:35:30,01:37:30,137S,35,,0,0,
A20131215WKD_004550_1..S02R,01:39:00,01:39:00,138S,36,,1,1,
A20131215WKD_004550_1..S02R,01:40:30,01:41:30,139S,37,,0,0,
A20131215WKD_004550_1..S02R,01:44:00,01:44:00,140S,38,,0,0,
A20131215WKD_011450_1..N02R,01:54:30,01:54:30,140N,1,,0,0,
A20131215WKD_011450_1..N02R,01:57:00,01:57:00,139N,2,,0,0,
A20131215WKD_011450_1..N02R,01:58:00,01:58:00,138N,3,,1,1,
A20131215WKD_011450_1..N02R,01:59:00,01:59:00,137N,4,,0,0,
A20131215WKD_011450_1..N02R,02:00:30,02:00:30,136N,5,,0,0,
A20131215WKD_011450_1..N02R,02:01:30,02:01:30,135N,6,,0,0,
A20131215WKD_011450_1..N02R,02:03:00,02:03:00,134N,7,,0,0,
A20131215WKD_011450_1..N02R,02:04:30,02:04:30,133N,8,,0,0,
A20131215WKD_011450_1..N02R,02:06:00,02:06:00,132N,9,,0,0,
A20131215WKD_011450_1..N02R,02:07:00,02:07:00,131N,10,,0,0,
A20131215WKD_011450_1..N02R,02:08:00,02:08:00,130N,11,,0,0,
A20131215WKD_011450_1..N02R,02:09:00,02:09:00,129N,12,,0,0,
A20131215WKD_011450_1..N02R,02:10:30,02:10:30,128N,13,,0,0,
A20131215WKD_011450_1..N02R,02:12:00,02:12:00,127N,14,,0,0,
A20131215WKD_011450_1..N02R,02:14:00,02:14:00,126N,15,,0,0,
A20131215WKD_011450_1..N02R,02:16:00,02:16:00,125N,16,,0,0,
A20131215WKD_011450_1..N02R,02:17:30,02:17:30,124N,17,,0,0,
A20131215WKD_011450_1..N02R,02:18:30,02:18:30,123N,18,,0,0,
A20131215WKD_011450_1..N02R,02:20:00,02:20:00,122N,19,,0,0,
A20131215WKD_011450_1..N02R,02:21:30,02:21:30,121N,20,,0,0,
A20131215WKD_011450_1..N02R,02:23:00,02:23:00,120N,21,,0,0,
A20131215WKD_011450_1..N02R,02:24:30,02:24:30,119N,22,,0,0,
A20131215WKD_011450_1..N02R,02:26:00,02:26:00,118N,23,,0,0,
A20131215WKD_011450_1..N02R,02:27:00,02:27:00,117N,24,,0,0,
A20131215WKD_011450_1..N02R,02:29:00,02:29:00,116N,25,,0,0,
A20131215WKD_011450_1..N02R,02:31:00,02:31:00,115N,26,,0,0,
A20131215WKD_011450_1..N02R,02:32:30,02:32:30,114N,27,,0,0,
A20131215WKD_011450_1..N02R,02:34:30,02:34:30,113N,28,,0,0,
A20131215WKD_011450_1..N02R,02:36:30,02:36:30,112N,29,,0,0,
A20131215WKD_011450_1..N02R,02:38:30,02:38:30,111N,30,,0,0,
A20131215WKD_011450_1..N02R,02:40:00,02:40:00,110N,31,,0,0,
A20131215WKD_011450_1..N02R,02:41:00,02:41:00,109N,32,,0,0,
A20131215WKD_011450_1..N02R,02:42:30,02:42:30,108N,33,,0,0,
A20131215WKD_011450_1..N02R,02:44:00,02:44:00,107N,34,,0,0,
A20131215WKD_011450_1..N02R,02:45:30,02:45:30,106N,35,,0,0,
A20131215WKD_011450_1..N02R,02:47:00,02:47:00,104N,36,,0,0,
A20131215WKD_011450_1..N02R,02:48:30,02:48:30,103N,37,,0,0,
A20131215WKD_011450_1..N02R,02:50:00,02:50:00,101N,38,,0,0,
A20131215WKD_018550_1..S02R,03:05:30,03:05:30,101S,1,,0,0,
A20131215WKD_018550_1..S02R,03:07:00,03:07:00,103S,2,,0,0,
A20131215WKD_018550_1..S02R,03:08:30,03:08:30,104S,3,,0,0,
A20131215WKD_018550_1..S02R,03:10:00,03:10:00,106S,4,,0,0,
A20131215WKD_018550_1..S02R,03:11:30,03:11:30,107S,5,,0,0,
A20131215WKD_018550_1..S02R,03:12:30,03:12:30,108S,6,,0,0,
A20131215WKD_018550_1..S02R,03:14:00,03:14:00,109S,7,,0,0,
A20131215WKD_018550_1..S02R,03:15:30,03:15:30,110S,8,,0,0,
A20131215WKD_018550_1..S02R,03:17:00,03:17:00,111S,9,,0,0,
A20131215WKD_018550_1..S02R,03:19:00,03:19:00,112S,10,,0,0,
A20131215WKD_018550_1..S02R,03:20:30,03:20:30,113S,11,,0,0,
A20131215WKD_018550_1..S02R,03:22:30,03:22:30,114S,12,,0,0,
A20131215WKD_018550_1..S02R,03:24:00,03:24:00,115S,13,,0,0,
A20131215WKD_018550_1..S02R,03:25:30,03:25:30,116S,14,,0,0,
A20131215WKD_018550_1..S02R,03:28:00,03:28:00,117S,15,,0,0,
A20131215WKD_018550_1..S02R,03:29:00,03:29:00,118S,16,,0,0,
A20131215WKD_018550_1..S02R,03:30:00,03:30:00,119S,17,,0,0,
A20131215WKD_018550_1..S02R,03:32:00,03:32:00,120S,18,,0,0,
A20131215WKD_018550_1..S02R,03:34:00,03:34:00,121S,19,,0,0,
A20131215WKD_018550_1..S02R,03:35:00,03:35:00,122S,20,,0,0,
A20131215WKD_018550_1..S02R,03:36:30,03:36:30,123S,21,,0,0,
A20131215WKD_018550_1..S02R,03:38:00,03:38:00,124S,22,,0,0,
A20131215WKD_018550_1..S02R,03:39:30,03:39:30,125S,23,,0,0,
A20131215WKD_018550_1..S02R,03:41:30,03:41:30,126S,24,,0,0,
A20131215WKD_018550_1..S02R,03:43:00,03:43:00,127S,25,,0,0,
A20131215WKD_018550_1..S02R,03:44:30,03:44:30,128S,26,,0,0,
A20131215WKD_018550_1..S02R,03:45:30,03:45:30,129S,27,,0,0,
A20131215WKD_018550_1..S02R,03:46:30,03:46:30,130S,28,,0,0,
A20131215WKD_018550_1..S02R,03:47:30,03:47:30,131S,29,,0,0,
A20131215WKD_018550_1..S02R,03:48:30,03:48:30,132S,30,,0,0,
A20131215WKD_018550_1..S02R,03:50:00,03:50:00,133S,31,,0,0,
A20131215WKD_018550_1..S02R,03:51:30,03:51:30,134S,32,,0,0,
A20131215WKD_018550_1..S02R,03:53:30,03:53:30,135S,33,,0,0,
A20131215WKD_018550_1..S02R,03:54:30,03:54:30,136S,34,,0,0,
A20131215WKD_018550_1..S02R,03:55:30,03:57:30,137S,35,,0,0,
A20131215WKD_018550_1..S02R,03:59:00,03:59:00,138S,36,,1,1,
A20131215WKD_018550_1..S02R,04:00:30,04:01:30,139S,37,,0,0,
A20131215WKD_018550_1..S02R,04:04:00,04:04:00,140S,38,,0,0,
A20131215WKD_025450_1..N02R,04:14:30,04:14:30,140N,1,,0,0,
A20131215WKD_025450_1..N02R,04:17:00,04:17:00,139N,2,,0,0,
A20131215WKD_025450_1..N02R,04:18:00,04:18:00,138N,3,,1,1,
A20131215WKD_025450_1..N02R,04:19:00,04:19:00,137N,4,,0,0,
A20131215WKD_025450_1..N02R,04:20:30,04:20:30,136N,5,,0,0,
A20131215WKD_025450_1..N02R,04:21:30,04:21:30,135N,6,,0,0,
A20131215WKD_025450_1..N02R,04:23:00,04:23:00,134N,7,,0,0,
A20131215WKD_025450_1..N02R,04:24:30,04:24:30,133N,8,,0,0,
A20131215WKD_025450_1..N02R,04:26:00,04:26:00,132N,9,,0,0,
A20131215WKD_025450_1..N02R,04:27:00,04:27:00,131N,10,,0,0,
A20131215WKD_025450_1..N02R,04:28:00,04:28:00,130N,11,,0,0,
A20131215WKD_025450_1..N02R,04:29:00,04:29:00,129N,12,,0,0,
A20131215WKD_025450_1..N02R,04:30:30,04:30:30,128N,13,,0,0,
A20131215WKD_025450_1..N02R,04:32:00,04:32:00,127N,14,,0,0,
A20131215WKD_025450_1..N02R,04:34:00,04:34:00,126N,15,,0,0,
A20131215WKD_025450_1..N02R,04:36:00,04:36:00,125N,16,,0,0,
A20131215WKD_025450_1..N02R,04:37:30,04:37:30,124N,17,,0,0,
A20131215WKD_025450_1..N02R,04:38:30,04:38:30,123N,18,,0,0,
A20131215WKD_025450_1..N02R,04:40:00,04:40:00,122N,19,,0,0,
A20131215WKD_025450_1..N02R,04:41:30,04:41:30,121N,20,,0,0,
A20131215WKD_025450_1..N02R,04:43:00,04:43:00,120N,21,,0,0,
A20131215WKD_025450_1..N02R,04:44:30,04:44:30,119N,22,,0,0,
A20131215WKD_025450_1..N02R,04:46:00,04:46:00,118N,23,,0,0,
A20131215WKD_025450_1..N02R,04:47:00,04:47:00,117N,24,,0,0,
A20131215WKD_025450_1..N02R,04:49:00,04:49:00,116N,25,,0,0,
A20131215WKD_025450_1..N02R,04:51:00,04:51:00,115N,26,,0,0,
A20131215WKD_025450_1..N02R,04:52:30,04:52:30,114N,27,,0,0,
A20131215WKD_025450_1..N02R,04:54:30,04:54:30,113N,28,,0,0,
A20131215WKD_025450_1..N02R,04:56:30,04:56:30,112N,29,,0,0,
A20131215WKD_025450_1..N02R,04:58:30,04:58:30,111N,30,,0,0,
A20131215WKD_025450_1..N02R,05:00:00,05:00:00,110N,31,,0,0,
A20131215WKD_025450_1..N02R,05:01:00,05:01:00,109N,32,,0,0,
A20131215WKD_025450_1..N02R,05:02:30,05:02:30,108N,33,,0,0,
A20131215WKD_025450_1..N02R,05:04:00,05:04:00,107N,34,,0,0,
